"keys","ja"
"A thermonuclear botanist fired for saving mutant sprouts, now a greenhouse warrior who carves through rogue gardening robots with a reactor-forged pruning greatsword.","突然変異の芽をかばってクビになった熱核植物学者。いまは炉で鍛えた剪定大剣を振るい、暴走した園芸ロボットを切り開く温室の戦士。"
"ATTACK","アタック"
"Act 1","第1幕"
"Act 2","第2幕"
"Act 3","第3幕"
"Add Random
Consumable","ランダムな
ポーションを得る"
"Adds 10 block","ブロックを10得る"
"Adds money when obtained","入手時にお金を得る"
"All","すべて"
"All enemies are set to 1HP","すべての敵のHPが1になる"
"Allows a permanent attack boost at rest sites","休憩所でアタックを永続強化できる"
"Artifact Add Money","お金のレリック"
"Artifact Block on Attacks","アタックでブロックのレリック"
"Artifact Blue Boss","青のボスレリック"
"Artifact Blue Shop","青のショップレリック"
"Artifact Draw on Combat","戦闘開始ドローのレリック"
"Artifact Draw on Kill","撃破ドローのレリック"
"Artifact Easy Mode","イージーモードのレリック"
"Artifact Energy On Combat Start","戦闘開始エナジーのレリック"
"Artifact Full Heal","全回復のレリック"
"Artifact Green Boss","緑のボスレリック"
"Artifact Green Shop","緑のショップレリック"
"Artifact Heal On Combat End","戦闘終了回復のレリック"
"Artifact Increase Attack on Rest","休憩アタック強化のレリック"
"Artifact Make Attack Card Innate","アタック天賦化のレリック"
"Artifact Negate Money Gain","お金封印のレリック"
"Artifact Orange Boss","橙のボスレリック"
"Artifact Orange Shop","橙のショップレリック"
"Artifact Preserve Energy","エナジー維持のレリック"
"Artifact Red Boss","赤のボスレリック"
"Artifact Red Shop","赤のショップレリック"
"Artifact Reshuffle","シャッフルのレリック"
"Artifact Retain Hand","手札保留のレリック"
"Artifact See Draw Pile","山札透視のレリック"
"Artifact White Boss","白のボスレリック"
"Artifact White Shop","白のショップレリック"
"Artifacts","レリック"
"At end of turn gain [status_charge_amount] Overheat and do [damage] damage to a random enemy. Exhaust","ターン終了時、オーバーヒートを[status_charge_amount]得て、ランダムな敵に[damage]ダメージを与える。廃棄。"
"Attached Card","付属カード"
"Attack","アタック"
"Attack for [damage] damage [number_of_attacks] times. Gain [status_charge_amount] Strength. On pickup, Gain [health_amount] HP.","[damage]ダメージを[number_of_attacks]回与える。筋力を[status_charge_amount]得る。入手時、HPを[health_amount]回復。"
"Attack for [damage] damage and gain Overshield for unblocked damage
Exhaust","[damage]ダメージを与え、ブロックされなかったダメージ分のオーバーシールドを得る。
廃棄。"
"Attack for [damage] damage.","[damage]ダメージを与える。"
"Attack for [damage] damage. Costs 0 if damage was taken this turn.","[damage]ダメージを与える。このターンにダメージを受けていればコスト0。"
"Attack1","アタック1"
"Attack2","アタック2"
"AttackMulti","連続アタック"
"AttackVulnerable","弱体アタック"
"Auto Revive","自動復活"
"BASIC","初期"
"Back","戻る"
"Back To Main Menu","メインメニューへ戻る"
"Banish","追放"
"Basic Attack","基本アタック"
"Basic Block","基本ブロック"
"Basic Difficulty","基本難易度"
"Big Boom","大爆発"
"Block","ブロック"
"Block Item","ブロックのポーション"
"Block On Turn End","ターン終了時ブロック"
"Block on Special Discard","特殊捨て札でブロック"
"Blocked","ブロック"
"Blossom","開花"
"Blue","青"
"Boltling","ボルトッコ"
"Bomb","爆弾"
"Boss","ボス"
"Bosses are tough","ボスは手ごわい"
"Bottom Deck","山札の一番下"
"Bud","つぼみ"
"COMMON","コモン"
"CURSE","呪い"
"Cap Damage","ダメージ上限"
"Card Reward","カード報酬"
"Cards","カード"
"Cards will be retained end of turn","ターン終了時、手札を保留する"
"Cell Wall","細胞壁"
"Character Stats","キャラクター統計"
"Chest","宝箱"
"Chloroplast","葉緑体"
"Choose a card to enchant","強化するカードを選ぶ"
"Choose a card to make top deck","山札の一番上に置くカードを選ぶ"
"Choose a card to remove Exhaust from.","廃棄を取り除くカードを選ぶ。"
"Choose a card to upgrade.","アップグレードするカードを選ぶ。"
"Choose up to {0} card(s) to banish. {1} cards selected","追放するカードを最大{0}枚選ぶ（{1}枚選択中）"
"Choose up to {0} card(s) to discard. {1} cards selected","捨てるカードを最大{0}枚選ぶ（{1}枚選択中）"
"Choose up to {0} card(s) to upgrade. {1} cards selected","アップグレードするカードを最大{0}枚選ぶ（{1}枚選択中）"
"Choose {0} card(s) to add to draw. {1} cards selected","山札に加えるカードを{0}枚選ぶ（{1}枚選択中）"
"Choose {0} card(s) to add to hand. {1} cards selected","手札に加えるカードを{0}枚選ぶ（{1}枚選択中）"
"Choose {0} card(s) to decorate. {1} cards selected","装飾するカードを{0}枚選ぶ（{1}枚選択中）"
"Choose {0} card(s) to exhaust. {1} cards selected","廃棄するカードを{0}枚選ぶ（{1}枚選択中）"
"Choose {0} card(s) to play. {1} cards selected","使用するカードを{0}枚選ぶ（{1}枚選択中）"
"Choose {0} card(s) to remove. {1} cards selected","取り除くカードを{0}枚選ぶ（{1}枚選択中）"
"Choose {0} card(s) to retain. {1} cards selected","保留するカードを{0}枚選ぶ（{1}枚選択中）"
"Choose {0} card(s) to upgrade. {1} cards selected","アップグレードするカードを{0}枚選ぶ（{1}枚選択中）"
"Choose {3} attacks to discard. {1} cards selected","捨てるアタックを{3}枚選ぶ（{1}枚選択中）"
"Clippers","剪定ばさみ"
"Cloche Clobber","クロッシュ・ボコスカ"
"Codex","図鑑"
"Combat","戦闘"
"Completed {0}","{0}にクリア"
"Completely removes a card from play for the duration of combat","この戦闘中、カードを完全に取り除く"
"Compost Cougher","ゲホゲホ・コンポスト"
"Conclusion","結論"
"Confirm","決定"
"Consumables","ポーション"
"Containment","封じ込め"
"Continue","つづきから"
"Convert Block into Overshield","ブロックをオーバーシールドに変換する。"
"Corrosion","腐食"
"Cost","コスト"
"Crimp Foreman","クリンプ親方"
"Critical","クリティカル"
"Current Loss Streak: {0}","現在の連敗数：{0}"
"Current Win Streak: {0}","現在の連勝数：{0}"
"Custom 1","カスタム1"
"Custom 2","カスタム2"
"Custom Modifiers","カスタムモディファイア"
"Damage Increase","ダメージ増加"
"Damage Item","ダメージのポーション"
"Damages a target for 10","対象に10ダメージを与える"
"Damages all enemies for 10","敵全体に10ダメージを与える"
"Datum","データム"
"Deals damage each turn ","毎ターン、ダメージを与える"
"Deals damage to all enemies when timer runs out ","カウントが0になると敵全体にダメージを与える"
"Defeat","敗北"
"Description of Modifier","モディファイアの説明"
"Died to easy event","簡単なイベントで力尽きた"
"Differentiation","分化"
"Difficulty 1: Harder Enemies","難易度1：敵が強化"
"Difficulty 2: Harder Minibosses","難易度2：エリートが強化"
"Difficulty 3: Harder Bosses","難易度3：ボスが強化"
"Difficulty 4","難易度4"
"Difficulty 5","難易度5"
"Discard","捨て札"
"Do [attack_damage]. Lose [self_damage] HP.","[attack_damage]ダメージを与える。HPを[self_damage]失う。"
"Do [damage] damage for each Waste card in your exhaust pile. Add 1 Waste to your hand.","廃棄札の放射性廃棄物1枚につき[damage]ダメージを与える。放射性廃棄物1枚を手札に加える。"
"Do [damage] damage to all enemies. Gain [status_charge_amount] Overheat.","敵全体に[damage]ダメージを与える。オーバーヒートを[status_charge_amount]得る。"
"Do [damage] damage. Gain [status_charge_amount] Overheat.","[damage]ダメージを与える。オーバーヒートを[status_charge_amount]得る。"
"Do [damage] to all enemies [number_of_attacks] times. Not affected by Pointy","敵全体に[damage]ダメージを[number_of_attacks]回与える。トゲトゲの影響を受けない。"
"Do [damage] to all enemies. Ethereal. On exhaust, do 10 damage to everyone.","敵全体に[damage]ダメージを与える。エセリアル。廃棄時、全員に10ダメージ。"
"Double Overshield charges.","オーバーシールドを2倍にする。"
"Draw [draw_count] cards. Gain [status_charge_amount] Overheat","カードを[draw_count]枚引く。オーバーヒートを[status_charge_amount]得る。"
"Draws 2 extra cards on the first turn","最初のターン、追加でカードを2枚引く"
"Draws a card when an enemy is killed","敵を倒すたびカードを1枚引く"
"Drink","飲む"
"Dummy modifier. Mutually exclusive with Custom 1","ダミーのモディファイア。カスタム1とは併用不可"
"Dummy modifier. Mutually exclusive with Custom 2","ダミーのモディファイア。カスタム2とは併用不可"
